,Text,PredictedSummary
1076,"Nature's Recipe is now a division of that mega company Del Monte Foods.<br /><br />The Test<br /><br />The neat thing about this food is that it really does look like the photograph on the bag. It consists of smallish kibble with pieces of dried carrots and peas mixed in. When the bag was first opened the girls ate small amounts of Farm Selects unmixed and readily took to it. Since then they've been eating it mixed with their Blue food.<br /><br />I thought Evie and Piper might fuss with the dried vegetables in there, but they don't specifically target the vegetables to leave behind.<br /><br />The quality of this food is obvious to one who reads the ingredient list. Only one ingredient, that animal digest, makes me cringe a little. The girls don't mind it a bit. For goodness alone I can heartily recommend this natural food, but the price on it is relatively high. Rachel Ray's dry dog food, for example, is about half the price of Farm Stands Selects, and Buffalo Blue is about the same price. For a household like ours with three dogs, the Farm Stands Selects is too pricey  to feed the girls exclusively. We'd feel obliged to mix another good, but less expensive food with it. For those with one pet and for whom money is not an issue, I say you can't go wrong with Farm Selects.","It consists of smallish kibble with pieces of dried carrots and peas mixed in. Only one ingredient, that animal digest, makes me cringe a little. The girls don't mind it a bit. Since then they've been eating it mixed with their Blue food.<br /><br />I thought Evie and Piper might fuss with the dried vegetables in there, but they don't specifically target the vegetables to leave behind.<br /><br />The quality of this food is obvious to one who reads the ingredient list."
1077,"You will not find a better loose green tea for the price.  I was able to get free shipping as well since I bought it with something else that totaled over $25.  This is the tea used by many Japanese people.  Do not fall for those high-priced ""organic"" green teas produced by American companies.  They are good...but you are not getting anything better than Hime Ban Cha Tea.","I was able to get free shipping as well since I bought it with something else that totaled over $25. This is the tea used by many Japanese people. Do not fall for those high-priced ""organic"" green teas produced by American companies."
1078,"This is the favorite green tea in our household.  Been using it for years.  Was happy to find it here on Amazon, otherwise we had to travel about forty miles to an oriental grocery store to purchase it.  Can't even buy any leaf tea of any kind in regular grocery stores any more.  By the way ""Ban Cha"" in Japan simply means common or everyday tea.  Not ceremonial.","This is the favorite green tea in our household. Been using it for years. Was happy to find it here on Amazon, otherwise we had to travel about forty miles to an oriental grocery store to purchase it."
1079,"I love this tea!! It is so flavorful yet there is no cut grass or off flavor as with some green teas. It is so mild that even left steeping it does not become bitter.It has a very mellow flavor that my kids enjoy too.It's great without sweeteners.<br /> It is a loose leaf tea and when steeped the leaves unfurl,long and slender. A little tea goes a long way. Enjoy!",I love this tea!! It is so flavorful yet there is no cut grass or off flavor as with some green teas.
1081,"This is the real deal. Genmai Cha. Loose green tea and roasted brown rice. Not in bags. Originally known as the ""Peoples Tea"" for those who couldn't afford better. Very popular because of its mild flavor. You can drink it all day long (like I do). You won't be disappointed.",Genmai Cha. Not in bags. You can drink it all day long (like I do).
1083,All my fault. I thought this would be a carton of 3 boxes of cereal.  Instead it was 1 box of cereal for 12.99. Who sells cereal for this price plus $8.00 shipping ? I feel stupid!  Buyer Beware!,All my fault. I thought this would be a carton of 3 boxes of cereal.
1085,I ordered both the beef and Turkey flavors. My dogs would not even take these in their mouths. Both flavors were  very dry and had no real aroma to them. Try a small quantity first. i  donated the entire order to the Humane Society.,My dogs would not even take these in their mouths. i  donated the entire order to the Humane Society. Both flavors were  very dry and had no real aroma to them.
1090,"I originally ordered two teas from Art of Tea - the Silver Needles and the Coconut Creme. When my package came in, they had shipped the Coconut Creme and mistakenly bundled it with this Mandarin Silk tea by accident. I contacted Amazon and they refunded the Silver Needles and told me I could ""dispose of the Mandarin Silk Oolong as I saw fit."" Well, since I'm never one to turn down tea, I chose to dispose of it by, well, drinking it.<br /><br />This isn't a bad tea, first off. I don't have too much experience with oolongs, but I do like the flavor of this. However, I don't taste too much of the mandarin. It almost tastes sort of like a straight green tea, and it has a similar light green/yellow color. I drink it with a little honey.<br /><br />All in all, it's a decent tea. I don't think I'll order it again, but I'll certainly finish off this tin.","When my package came in, they had shipped the Coconut Creme and mistakenly bundled it with this Mandarin Silk tea by accident. Well, since I'm never one to turn down tea, I chose to dispose of it by, well, drinking it.<br /><br />This isn't a bad tea, first off. It almost tastes sort of like a straight green tea, and it has a similar light green/yellow color."
1091,"These are identical to ""Jay's hot chips"" (are they made by the same company?).  They have a slightly sweet taste, with a nice bit of heat. Definately not overwhelming heat, on a heat scale of 1-5, I would give these about a 2.  Regarding the texture, these are not kettle cooked chips, so they do not have much crunch, they are comparable to regular Lays chips.  For about $1 a bag, they are a great deal.","These are identical to ""Jay's hot chips"" (are they made by the same company?). For about $1 a bag, they are a great deal. Regarding the texture, these are not kettle cooked chips, so they do not have much crunch, they are comparable to regular Lays chips."
1092,"I first had these Uncle Ray's chips a few years ago while traveling out west. I tracked them down on Amazon and recognized the name. They are just as good as I remember: smoky sweet with just enough kick, and there's adequate seasoning on all of the chips. Each bag also has a little story, courtesy of Uncle Ray, that usually has some moral message or anecdote. They are pretty funny, but not intentionally. My only problem with these chips is their texture. They're a bit thin, and there's not much of a crunchy texture. Otherwise, these are good chips and well worth trying out.","Each bag also has a little story, courtesy of Uncle Ray, that usually has some moral message or anecdote. They are pretty funny, but not intentionally. They are just as good as I remember: smoky sweet with just enough kick, and there's adequate seasoning on all of the chips."
1093,"I am from Michigan but have a vacation home in Canada. I have always been a fan of the primarily Canadian product ""ketchup chips"". Uncle Rays is a brand I've seen around there frequently. Since this is such a hard to find product I expected to pay big bucks to buy it online. Imagine my surprise when I found these chips on Amazon for a little over a dollar a bag- CHEAPER than the retail I would pay in Canada. Unbelievably delicious! Ps. The dill pickle chips are really good too :)",Imagine my surprise when I found these chips on Amazon for a little over a dollar a bag- CHEAPER than the retail I would pay in Canada. Uncle Rays is a brand I've seen around there frequently. Unbelievably delicious!
1094,Mine came with stickers to sell them for $1.59 but they cost more like $1.25 so if for retail that is not much of a mark up. I bought these for myself so that doesn't really matter and they are cheap. Similar to Lay's but cheaper. Unlike other knockoffs these seemed to taste fresher and the convenient size minimizes stale chips. Great product. Great price.,Mine came with stickers to sell them for $1.59 but they cost more like $1.25 so if for retail that is not much of a mark up. Unlike other knockoffs these seemed to taste fresher and the convenient size minimizes stale chips.
1096,"These are some of my favorite chips on the planet! They are light, crisp, & not too greasy. The flavor is very Dilly. Love that! Great chips. Just hard to find.","These are some of my favorite chips on the planet! They are light, crisp, & not too greasy."
1097,"These chips are really good. They taste better than other name brands. They're cheaper too!!  They aren't too salty like other brands. The flavors blend really well. Just the right amount of sour cream and onion flavor with a little salt mixed in. Once I start eating them, it's hard to stop!! LOL<br /><br />I will definitely be buying these potato chips rather than another name brand. Not sure if I can state the name brand or not. :)","LOL<br /><br />I will definitely be buying these potato chips rather than another name brand. The flavors blend really well. Once I start eating them, it's hard to stop!!"
1100,"We have ordered Uncle Rays BBQ chips many times before. Always been pleased, except this order!  Just NOT the same<br />Seasoning as usual. Generally lacked much for taste! Not sure if they have reduced the seasoning, in their processing? But out of case we bought, we have opened and thrown away 3 bags already, VERY disappointed with this order!","We have ordered Uncle Rays BBQ chips many times before. Generally lacked much for taste! But out of case we bought, we have opened and thrown away 3 bags already, VERY disappointed with this order!"
1101,"I have loved ketchup flavored potato chips since I was a kid and spent my summers at my grandparents in Canada. This is a very popular flavor there and seems to be always available. I recently got back from a trip to Montreal, where I ate at least a pack a day. I decided I really wanted some around and was happy when I found these on Amazon. Unfortunately, the flavor is nowhere close to the brands I've tried before. There's a sort of smoky, barbeque sauce thing going on. Not that they're as good as BBQ potato chips (which I love), they just don't taste like ketchup. I tried to get through a bag over a couple of weeks to see if they would grow on me, then just threw them all out. Yuck!","I tried to get through a bag over a couple of weeks to see if they would grow on me, then just threw them all out. I have loved ketchup flavored potato chips since I was a kid and spent my summers at my grandparents in Canada. There's a sort of smoky, barbeque sauce thing going on."
1105,"I love uncle ray's potatoe chips. They have alot of spice on each chip.  They taste spicy with a tang of sweet. When I order a box, I pass them out to friends who love them. My husband, my kids and I eat a whole bag at a time.  I limit myself to ordering only twice ayear. The salt content makes me blow up, but I still love them.","They taste spicy with a tang of sweet. The salt content makes me blow up, but I still love them. I limit myself to ordering only twice ayear."
1106,"I LOVE Old Dutch Ketchup chips but they are no where to be found in the US and pricey on eBay.  I tried Herr's but they were dull - very ketchupy but not the tangy-vinigary ketchup bite that Old Dutch has (makes your mouth hurt  in a good way if you eat too many!).  Uncle Rays are decent - more of a kick - many ""loaded"" chips which I like, still, not the addictive bite I love.  So - if you love Herr's these may be too much for you.  If you love Old Dutch give these a shot.  I am still on my quest for something equal to Old Dutch!!","Uncle Rays are decent - more of a kick - many ""loaded"" chips which I like, still, not the addictive bite I love. So - if you love Herr's these may be too much for you. If you love Old Dutch give these a shot."
1107,"I confess, I was originally looking at a different ""name"" brand, but they were out of the salt and vinegar, which is the only flavor I eat.  I had never even heard of Uncle Ray's, let alone tried them, but the price was reasonable and it helped me qualify for free super saver shipping.  I am happy to say I was very pleasantly surprised with these chips.  Somehow or another, even though they just seem to be in a normal box, when I opened that first bag I had a nice mix of big chips and little chips.  The salt and vinegar blend well, so much so that the flavors sometimes sneak up on you-- it sometimes seems that with the first crunch you taste salt and the second crunch gives the vinegar.  In any case, they're terrific.  I was a little reluctant about buying a somewhat large quantity of an unknown product, but I'm very glad I took the chance.","I am happy to say I was very pleasantly surprised with these chips. I confess, I was originally looking at a different ""name"" brand, but they were out of the salt and vinegar, which is the only flavor I eat. I was a little reluctant about buying a somewhat large quantity of an unknown product, but I'm very glad I took the chance."
1108,"It's difficult to purchase ""no-salt"" potato chips at most retail stores, so I ordered a case of 3 ounce bags of Uncle Rays.  They are great.  Not oily and they taste great.  You get the potato flavor instead of just salt.  I'll be buying these from now on!","They are great. It's difficult to purchase ""no-salt"" potato chips at most retail stores, so I ordered a case of 3 ounce bags of Uncle Rays. Not oily and they taste great."
1110,These had heat and had good enough coating of the seasoning. The first 2 cases were amazing best i had ever. Then they restocked and tried 4-5 cases and they taste either like plain chips or slight hint of seasoning on them. What a shame they seemed to cut back on quality to save money. Bad Uncle Ray!,The first 2 cases were amazing best i had ever. Then they restocked and tried 4-5 cases and they taste either like plain chips or slight hint of seasoning on them. Bad Uncle Ray!
1111,"The flavor combination of the ketchup chips was very good.  However, the coating was applied so heavily that the chips were gritty, and thickly encrusted with it. The flavoring grit coated my lips and mouth with grit and crumbled and fell off all over my clothes.  Messy and unpleasant.  Needs lighter flavor coating.",The flavoring grit coated my lips and mouth with grit and crumbled and fell off all over my clothes. Messy and unpleasant. Needs lighter flavor coating.
1113,"Bought Uncle Ray's Wavy's 16 oz potato chips because purchased  Uncle Ray's 16 oz barbque potato chips in the past and was very pleased. Oh how wrong we were.  Do not purchase the Wavy's chips!!!!!!!!!!  They are the quality of buying a no name bag of chips from a roadside service station store; broken, brown, very poor quality.  Very, very disappointed.  DO NOT.......DO NOT......DO NOT purchase Uncle Ray's 16 oz Wavy potato chips<br /><br />OCTOBER 03, 2012<br /><br />Bought Uncle Ray's sour cream and onion flavored chips for the 5th shipment with extreme disappointment. The other (4) four shipments were very good which is why we continued to buy this flavor.<br /><br />The additive that when you like an item and start to buy a lot, it will change for the worse is proving to be true for us.  This shipment of chips are awful.  Bags are extremely deflated, so was expecting to be stale; however, was not so - cannot not explain the semi-flat bags.  Chips seem to be the bottom of the barrel flakes.  You know when you try to salt your food and the top comes off, the seasoning on these chips is like that.  It appears that the top came off a full bottle or these are the bottom of the barrel crumbled chips where the seasoning has covered the chips too, too much. .  We just opened (3)three bags just now because the first bags was awful, opened second bag - awful, opened 3rd bag - also was awful.  LEFT WITH 6 MORE ,PROBABLY NOT EDIBLE, BAGS. THE CHIPS REALLY APPEAR TO BE THE NOT SO FRESH, BURNED/BOTTOM OF THE BARREL, GET RID OF LEFTOVERS.  VERY, VERY, DISAPPOINTED.  WILL NOT BUY AGAIN!!!!!!!!!!!!!!!!!!!!!!","DO NOT.......DO NOT......DO NOT purchase Uncle Ray's 16 oz Wavy potato chips<br /><br />OCTOBER 03, 2012<br /><br />Bought Uncle Ray's sour cream and onion flavored chips for the 5th shipment with extreme disappointment. The other (4) four shipments were very good which is why we continued to buy this flavor.<br /><br />The additive that when you like an item and start to buy a lot, it will change for the worse is proving to be true for us. It appears that the top came off a full bottle or these are the bottom of the barrel crumbled chips where the seasoning has covered the chips too, too much. Very, very disappointed. We just opened (3)three bags just now because the first bags was awful, opened second bag - awful, opened 3rd bag - also was awful."
1114,"I have now tried both the Ocean Fish and Tuna and the Duck and Chicken variety of this food.  My cat seems to prefer the taste of the duck and chicken a little better, but I will probably rotate them both because of the health benefits he's gotten (especially from the ocean fish and tuna) that have included a softer coat and less scratching and biting of himself and shedding.  Also, with this food, he doesn't drink much water, but still goes potty alot, so I feel good that he's getting plenty of fluids in his diet.  My only complaint with this brand, and why I only give it 4 stars, is that it has little pieces of potato? and whole peas in it, which my cat eats around and ends up being wasteful, which I don't like given the price.  Not that big of a deal, but it is a minor inconvenience that I have to clean leftover bits out after each feeding as opposed to just washing his empty bowl daily.  (In case you are wondering, it is approximately 4 to 6 whole pea/1.5 pea size potato? bits per 1/4 to 1/2 can.)","I have now tried both the Ocean Fish and Tuna and the Duck and Chicken variety of this food. and whole peas in it, which my cat eats around and ends up being wasteful, which I don't like given the price. bits per 1/4 to 1/2 can.)"
1119,"Just in case, if anyone doesn't know what WHITE tea is, as opposed to green or black, let's quote Wikipedia: ""white tea is fast-dried, while green tea is roasted in an oven or pan (while kept moving for even curing). Oolong and black teas are fermented before curing."" What does it mean? For me, it translates into my favorite beverage to start the day with and to keep me going through the day. Objectively and scientifically speaking, white tea is said to have more anti-oxidants and less caffeine so, in my view, it's overall better than coffee or the black or green varieties.<br /><br />This particular product, while it comes in tea bags, it's not exactly your 'supermarket' variety. Unlike the cheap teas, black, green, herbal or white that are delivered crushed inside paper bags, the 'Choice' brand is delivered in pyramid shaped, biodegradable, nylon-like bags that ensure that what you get is actual leaves, not some indistinct crushed powder.<br /><br />This being a white tea, 'delicate' and 'subtle' and the required adjectives to use but they may not apply in this case. I found the added flowers to be a little too strong, bordering to overpowering for my taste. The Lychee and Osmanthus aromas can be an acquired taste - think of sweet, green apples for an equivalent more familiar aroma. If it's not 'love at the first sip', give it some time and you may not only tolerate it but prefer it to other flavors. Or not.<br /><br />INGREDIENTS:<br /><br />- organic, fair trade certified White Tea<br />- natural Lychee flavor<br />- organic Osmanthus flavor<br />- contains caffeine<br /><br />The somewhat off-balance added flavors and the premium price are not likely to turn me into a repeat customer. Time will tell but at this time 3 stars (meaning 'it's Okay') seem to be the fair rating.","Oolong and black teas are fermented before curing."" What does it mean? Objectively and scientifically speaking, white tea is said to have more anti-oxidants and less caffeine so, in my view, it's overall better than coffee or the black or green varieties.<br /><br />This particular product, while it comes in tea bags, it's not exactly your 'supermarket' variety. If it's not 'love at the first sip', give it some time and you may not only tolerate it but prefer it to other flavors."
1120,"As soon as I opened the teabag envelope, the smell was truly Divine Nasal Candy :-).  As good as the bag and the lingering scent on the envelope smelled, the tea proved to be rather bitter.  I may have steeped it too long, so will see if the bitterness abates steeping less.  However, as I prefer milk or cream products in flower teas, the bitterness was soon dispelled with a little soy creamer and an enjoyable cup was had.  Lychee is truly a wonderful flavor for tea.  I suspect the flowers added to this lychee tea may contribute to the bitterness in the straight tea.  Will definitely reorder.","As good as the bag and the lingering scent on the envelope smelled, the tea proved to be rather bitter. However, as I prefer milk or cream products in flower teas, the bitterness was soon dispelled with a little soy creamer and an enjoyable cup was had. Will definitely reorder."
1127,"Even though the item says ""Pack of 6,"" I only received one. I called them up to see where the other 5 were, and they said that Amazon put it incorrectly. Seriously?? They are issuing a refund, but still. I wanted 6, which is what the item says, and instead and only getting the 1. Should we just not trust what's on Amazon now???","They are issuing a refund, but still. Seriously?? I wanted 6, which is what the item says, and instead and only getting the 1."
1132,"My cats (7 of them) love this food so I was glad to see Amazon is carrying it again. The local stores do not carry a 15 lb bag, only the 3.5lbs and 12 lbs. This food is sealed very well, and is fresh. I have tried expensive brands and really cheapo brands of cat food, and so far 9 lives agrees very well with my cats. This food does not ""rifle"" through them or cause overly offensive litter pan odors (like cheapo cat food) and their digestive and urinary tracts are all healthy. My cats ages range from 3 years to 18 years old, and believe me, this 9 Lives brand and flavor are something they all like. The price is a really good deal especially for prime as the shipping is free.<br /><br />I also buy the Iams in the orange bag for my cats for a variety and putting some of that in a bowl dry as well as wetted down with water in another bowl is something they really love. Again, no intestinal issues or litter pan issues as they have been eating this combination for several years now.<br /><br />If you do try this, or switch your cat(s) over, be patient as it may take a week or so for your cats digestive system to adjust. In the end, I think you will be very pleased with the quality and price.<br /><br />Also, we used to take in foster cats, and fed them this 9 Lives brand, and they all did very well.","In the end, I think you will be very pleased with the quality and price.<br /><br />Also, we used to take in foster cats, and fed them this 9 Lives brand, and they all did very well. Again, no intestinal issues or litter pan issues as they have been eating this combination for several years now.<br /><br />If you do try this, or switch your cat(s) over, be patient as it may take a week or so for your cats digestive system to adjust. This food does not ""rifle"" through them or cause overly offensive litter pan odors (like cheapo cat food) and their digestive and urinary tracts are all healthy."
1135,"There are 4 kittens that started hanging outside the house and I started feeding them.  Rather than buying the smaller bags, this is a great value for multiple cats.  The kittens love the food and always look forward to eating it.  Shipped right to your door.  Can't go wrong with that!",The kittens love the food and always look forward to eating it. Shipped right to your door. Can't go wrong with that!
1136,"I purchase 2 15 pound bags of 9 Lives Daily Essentials a month for my daughter's cats. They love it. She says they often gather around the carton and wait for her to open it. They know what's in there and can't wait for it to be opened. If the cats love it, we love it. Isn't that how it goes?","I purchase 2 15 pound bags of 9 Lives Daily Essentials a month for my daughter's cats. If the cats love it, we love it. They know what's in there and can't wait for it to be opened."
1139,"I have 6 feral cats that I trapped, neutered/spayed and released.  They still hang around our property so of course we feed them.  They really like 9 lives and I believe it is good for them.  Being old and my husband handicapped, it is so easy for us to have it delivered right to our door step instead of wrestling with the bags at the store and unloading when we get home.  I am very satisfied with the product and Amazon.  The subscribe and save option is even better as I don't have to remember to order it.","I have 6 feral cats that I trapped, neutered/spayed and released. Being old and my husband handicapped, it is so easy for us to have it delivered right to our door step instead of wrestling with the bags at the store and unloading when we get home. I am very satisfied with the product and Amazon."
1140,My two cats love this cat food more than the kirkland signature brand.  It's also very cheap and affordable cat food at walmart. I would recommend this cat food over meow mix or friskies any day.  Get 9lives dry cat food.  It's one of the better brands out there.,My two cats love this cat food more than the kirkland signature brand. Get 9lives dry cat food. It's one of the better brands out there.
1143,i love these pop.  these are rather small pops about 1/2 the size of a tootsie pop.  they come in many flavors.  i think this bag is great in the long run.  300 just think Halloween.,i love these pop. they come in many flavors. i think this bag is great in the long run.
1146,"Not paying attention, I thought this product was simply vanilla extract when I purchased it, tried it in my coffee, and got a shock. Yummy!  I had to go examine the bottle, and realized my yummy mistake.  I wonder what glycerin is, what it's made of...? is it a fat?<br />At any rate, it is delicious!","Not paying attention, I thought this product was simply vanilla extract when I purchased it, tried it in my coffee, and got a shock. I had to go examine the bottle, and realized my yummy mistake."
1150,"I just received these bricks today and was very disappointed to find that BOTH of the bricks were broken and unusable as a serving/cooking plate.  They were busted completed in half. They were packaged in one sleeve of small bubble wrap in a shallow box with no other protection or packaging in the box.  I went online to try and return them and they are not eligible for return.  This is the first return I've ever tried to do in over 7 years of purchasing items off of amazon (to the tune of several orders a month!) and yet the one time that I want to return a defective product, I can't do it.  I will be much more careful about what is eligible for returns and what isn't in the future.","They were busted completed in half. I just received these bricks today and was very disappointed to find that BOTH of the bricks were broken and unusable as a serving/cooking plate. and yet the one time that I want to return a defective product, I can't do it."
1151,"Excellent in cereal, or on top icecream sundae. I use them in my ramen noodle hot/sour soup as well.  very very GOOD.  almost a lite peanut flavor.  not too much salt, very lightly seasoned. a must try for anyone wanting a low calorie addition of protien into diet.  even the dog loves them. thinks they are some special treat.",very very GOOD. I use them in my ramen noodle hot/sour soup as well. even the dog loves them.
1155,"Buying this product seems to be almost literally like rolling the dice in a game of craps!<br /><br />My experience with this seems to be similar to the experience of ""Peter R."", unfortunately.<br /><br />The price was excellent.  I ordered mine after the date of "" J. Robert Bois'"" positive experience / review was written but before the date of ""Cindy 2366's"" positive experience / written review.  I bought these & gave them to my Dad, as he *LOVES* dates.  I noticed when I was visiting him, the dried fruit basket was hanging around in his 'fridge a lot longer than any other date basket I had ever ordered for him.<br /><br />Finally I asked him about them.  He said that he did not want to be rude to me or hurt my feelings but....  the dates, well, he was wondering if he should try & eat the seeds in the center & see if they were soft, because the dates themselves were hard as a rock & tasted stale.  I was mortified to say the least...  Then he wanted to know (jokingly) if he had done something to make me mad & I bought these for him as his punishment.  (No, but I had to laugh when he asked about that.)<br />Me personally, I have not tried them.  I will take his word for it!  :)<br /><br />I told him to throw it away or put it out for the squirrels.  After a week of offering the dates,  I picked them up out of his backyard and threw them away.  The squirrels, opossums, & raccoons declined to dine on the dates.<br /><br />It seems to be hit or miss with the ""Broadway Basketeers Irish St. Patrick's Dried Fruit Gift Basket"" purchase.<br /><br />I will not say flat out ""NO!  Do Not Purchase This Item, It is Not Good!""  That is a choice you will have to make on your own.  I just wanted to pass along my experience with the gift basket.<br /><br />Thank Goodness I caught it when it was on special & did not have the full current purchase price invested in the box!  I would have been really sad then!<br /><br />Amazon, as usual, did a fabulous job with the shipping, packaging, and they arrived quickly, in the time frame advertised / promised.<br /><br />Best of luck & I hope others have better experiences than my Dad / I had!<br /><br /><a href=""http://www.amazon.com/gp/product/B004134H9W"">Broadway Basketeers Irish St. Patrick's Dried Fruit Gift Basket</a>","I was mortified to say the least...  Then he wanted to know (jokingly) if he had done something to make me mad & I bought these for him as his punishment. I would have been really sad then!<br /><br />Amazon, as usual, did a fabulous job with the shipping, packaging, and they arrived quickly, in the time frame advertised / promised.<br /><br />Best of luck & I hope others have better experiences than my Dad / I had!<br /><br /><a href=""http://www.amazon.com/gp/product/B004134H9W"">Broadway Basketeers Irish St. Patrick's Dried Fruit Gift Basket</a> I noticed when I was visiting him, the dried fruit basket was hanging around in his 'fridge a lot longer than any other date basket I had ever ordered for him.<br /><br />Finally I asked him about them. I will take his word for it!"
1157,"These dates were absolutely delicious. I was a little bit worried because the one product review that it had was only one star. But as I looked at all the other date reviews, the trend seemed to be bad reviews in the Fall timeframe. I had these delivered mid-January and must say they were quite exquisite. Many thanks for a great treat at a large dinner party.","These dates were absolutely delicious. But as I looked at all the other date reviews, the trend seemed to be bad reviews in the Fall timeframe. Many thanks for a great treat at a large dinner party."
1163,"If you like soft licorice, these cats aren't for you.<br /><br />A perfect anise-y balance of salty and sweet, these little licorice kitties are perfect! You pop one (or several) in your mouth and let them melt a bit before you embark on your flavorful chewy journey.<br />Hard exterior. Lasts forever if you suck on them. Everlasting licorice Katjes!!<br /><br />Very fresh. Super fast shopping too. Thank you guys!","If you like soft licorice, these cats aren't for you.<br /><br />A perfect anise-y balance of salty and sweet, these little licorice kitties are perfect! Everlasting licorice Katjes! Lasts forever if you suck on them."
1164,"After searching for a more constant and less expensive supply of ""real"" licorice over my favorite (more about that later), I decided to try this one based upon other reviews and the description. I have to say that I was disappointed. It is not intense enough and a bit too salty for my preference since all that I noticed was salt and more salt until it got down to the licorice flavor which I would charactize as ""modest"". My all time favorite licorice was discovered years ago while visiting a St. Louis mall has been and remains an excellent choice made by Bissinger's Chocolate Company and they call it French Long Licorice. It is not noticeably salty and packed with flavor without being a sicky-sweet candy. I say that and caution licorice lovers to know their favorite ""type"" of licorice; this is important when reading reviews and purchasing. I was looking for something not American-style junk candy, with actual licorice extract not anise, chewy, lasting, with true strong licorice flavor and no other flavor overtones.<br /><br />As far a Bissinger's is concerned, they do not make this licorice year round nor advertise it on their website or in their catalogs so you have to call their toll free number and ask if it has been in production. It is expensive but well worth it for excellent flavor and lasting ability (I can enjoy one for at least 15 minutes if I don't chew). These are my favorite thing to have when reading a great book and I limit myself to 2 at a sitting for my ""fix""; okay, sometimes 3 if it is a superb book:D.<br />The last time I ordered it they were generous and added a pound of their premium chocolate as a thank-you for being a customer that troubled to find their particular product because I do not live near one of their stores and unless I visit say St. Louis (where it is headquartered) I have to mail-order.Anyway, I prefer my licorice hard and let it soften in my mouth so when I get an order ($56 for 2lbs) I leave it out lightly wrapped for a few days to harden off. That makes it last longer in my mouth and does not affect flavor but that it personal mouth feel preference. It frezes without problems so I will just have to go back to that and pay for my pleasure and stock up :). Licorice-gotta have it!","I have to say that I was disappointed. I was looking for something not American-style junk candy, with actual licorice extract not anise, chewy, lasting, with true strong licorice flavor and no other flavor overtones.<br /><br />As far a Bissinger's is concerned, they do not make this licorice year round nor advertise it on their website or in their catalogs so you have to call their toll free number and ask if it has been in production. It is not intense enough and a bit too salty for my preference since all that I noticed was salt and more salt until it got down to the licorice flavor which I would charactize as ""modest"". Licorice-gotta have it!"
1167,"This was a disappointment.  I use other products from this line/manufacturer on a regular basis.  I bought this item as a convenience to carry liquid Stevia in my purse.  The first time I went to use it, the liquid was a dark color...almost black..and I had to throw out the latte I was trying to sweeten.  All the manufacturer's other liquid products are clear, and, in fact, this is titled ""clear liquid"".  It must have been outdated/spoiled. I had already thrown the packing out, so don't know how it was dated.  I tried calling the Amazon supplier, but the call rolled into voice mail.  It's not enough money to spend time following-up, but it was disappointing.","I use other products from this line/manufacturer on a regular basis. I had already thrown the packing out, so don't know how it was dated. It must have been outdated/spoiled."
1169,"These tomatoes taste like home canned. When summer is over and heirloom tomatoes no longer are available at the farmers market, these serve as an excellent reminder of the past season and a promise of the next. I originally bought these organic tomatoes for my stepfather, whose heart disease dictated a low sodium diet. And they are incredibly low in sodium. But I soon bought them for myself after I tried them just once. When the local organic grocery store and then Sprouts stopped carrying them, I turned to Amazon for a case. They are as much a staple in my pantry as olive oil.",These tomatoes taste like home canned. They are as much a staple in my pantry as olive oil. But I soon bought them for myself after I tried them just once.
1171,"These are the best canned tomatoes I have tasted. They have a fresh flavor, similar to home-canned. This is my second time buying a set. They are a little more acidic/bright, and have a rounder flavor than other tomatoes. Comes with a basil leaf in each can. Note, the 28 oz tins are a better value than the 14 oz ones.","These are the best canned tomatoes I have tasted. This is my second time buying a set. Note, the 28 oz tins are a better value than the 14 oz ones."
1176,"I ordered these lollipops for a friends Wizard of Oz themed shower. The arrived packaged well but I noticed the box said they're from ""Oriental Trading Company"".  If I wanted a cheap product that I knew was low quality and from China then I would have bought them directly from their site at $7 for 38 of them!!! However, from the picture these looked well made. The picture is very deceiving and so is the description. They show 16 same-colored lollipops...mine came in a variety of colors. They also gave dimentions that the lollipops were 6""x2"". I noticed they looked a bit small and when I measured they didn't even come to 5"" long, not any of them...even though they're all differnet lengths.  This was very disappointing since I planned to stand them up in a vase of lemon drops. Overall, I'm very disappointed in this product and the seller for not being honest about the product they're providing to consumers.","I ordered these lollipops for a friends Wizard of Oz themed shower. However, from the picture these looked well made. This was very disappointing since I planned to stand them up in a vase of lemon drops. They also gave dimentions that the lollipops were 6""x2""."
1181,"I purchased these for my candy buffet at my wedding and I'm not impressed at all. I could have saved money by ordering them directly from Oriental Trading Company which is clearly where they came from. they look cheap and they're not as colorful as shown in the picture. the Oriental Trading Company information is on the back of the wrappers on the lollipops. most of the lollipop sticks are bent and two lollipops arrived broken. the box only has 12 lollipops, but in the description it says there's 16. I would have expected that if I knew they were coming from Oriental Trading Company, but that's not in the description, so I feel ripped off.","I would have expected that if I knew they were coming from Oriental Trading Company, but that's not in the description, so I feel ripped off. the box only has 12 lollipops, but in the description it says there's 16. most of the lollipop sticks are bent and two lollipops arrived broken."
